title;published_date;data_url;creator;description;unit;fail_reason
65-plussers;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_05.csv;Statbel;Aandeel personen van 65 jaar en ouder.;procent personen;
80-plussers;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_06.csv;Statbel;Aandeel personen van 80 jaar en ouder.;procent personen;
Aangiften beneden kritische grens;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_AR_10.csv;Statbel;"Aandeel individuele fiscale aangiften (zonder nulaangiften) met een netto belastbaar inkomen lager dan 10.000 euro.Aandeel gemeenschappelijke aangiften (zonder nulaangiften) met een netto belastbaar inkomen lager dan 20.000 euro.Het totale netto belastbaar inkomen bestaat uit alle netto inkomsten van alle inwoners min de aftrekbare uitgaven. Het netto belastbaar inkomen is de som van alle inkomsten uit onroerende goederen (huuropbrengsten en inkomsten uit woningen), inkomsten uit en opbrengsten van roerende goederen en kapitalen (dividenden, intresten…), beroepsinkomsten (wedden en lonen, ziekte-uitkeringen, werkloosheidsuitkeringen, (brug-)pensioenuitkeringen, winsten, baten, wedden van bedrijfsleiders en meewerkende echtgenoten, na aftrek van de beroepskosten) en diverse inkomsten, verminderd met de aftrekbare uitgaven (zoals kinderopvang, onderhoudsuitkeringen, giften…). Deze gegevens zijn gebaseerd op de aangiften in de personenbelasting die door de FOD Financiën aan Statbel worden aangeleverd. Het vermelde jaar is het inkomstenjaar, het jaar dus waarin de gegevens in de aangiften zijn ""verdiend"".";procent aangiften;
Aangiften groter dan 50.000 euro;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_AR_09.csv;Statbel;"Aandeel fiscale aangiften (zonder nulaangiften) met een netto belastbaar inkomen boven 50.000 euro.Het totale netto belastbaar inkomen bestaat uit alle netto inkomsten van alle inwoners min de aftrekbare uitgaven. Het netto belastbaar inkomen is de som van alle inkomsten uit onroerende goederen (huuropbrengsten en inkomsten uit woningen), inkomsten uit en opbrengsten van roerende goederen en kapitalen (dividenden, intresten…), beroepsinkomsten (wedden en lonen, ziekte-uitkeringen, werkloosheidsuitkeringen, (brug-)pensioenuitkeringen, winsten, baten, wedden van bedrijfsleiders en meewerkende echtgenoten, na aftrek van de beroepskosten) en diverse inkomsten, verminderd met de aftrekbare uitgaven (zoals kinderopvang, onderhoudsuitkeringen, giften…). Deze gegevens zijn gebaseerd op de aangiften in de personenbelasting die door de FOD Financiën aan Statbel worden aangeleverd. Het vermelde jaar is het inkomstenjaar, het jaar dus waarin de gegevens in de aangiften zijn ""verdiend"".";procent aangiften;
Aangroei bevolking 10 jaar;augustus 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_69.csv;Statbel;Aangroei van de bevolking ten opzichte van tien jaar eerder.;procent personen;
Aantrekkingskracht kleuteronderwijs;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ON_05.csv;Departement Onderwijs & Vorming;Aantal leerlingen dat ingeschreven is in het gewoon of buitengewoon kleuteronderwijs in de vestigingsplaatsen gelegen in de gemeente ten opzichte van het aantal 2,5- tot 5-jarigen.;;
Aantrekkingskracht lager onderwijs;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ON_11.csv;Departement Onderwijs & Vorming;Aantal leerlingen dat ingeschreven is in het gewoon of buitengewoon lager onderwijs in de vestigingsplaatsen gelegen in de gemeente ten opzichte van het aantal leerlingen in het gewoon of buitengewoon lager onderwijs dat woont in de gemeente.;;
Aantrekkingskracht secundair onderwijs;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ON_23.csv;Departement Onderwijs & Vorming;Aantal leerlingen dat ingeschreven is in gewoon of buitengewoon secundair onderwijs (inclusief deeltijds beroepssecundair onderwijs en deeltijds secundair zeevisserijonderwijs) in de vestigingsplaatsen gelegen in de gemeente ten opzichte van het aantal leerlingen in het gewoon of buitengewoon secundair onderwijs (inclusief deeltijds beroepssecundair onderwijs en deeltijds secundair zeevisserijonderwijs) die wonen in de gemeente.;;
Abonnementhouders De Lijn;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_MO_09.csv;De Lijn;Aandeel van de inwoners met een abonnement van De Lijn (Buzzy Pazz, Omnipas 25-64, Omnipas 65+, studentenpas en anderen);procent personen;
Actief bewegen;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_S_03.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat regelmatig dertig minuten wandelt, stapt of fietst.;procent personen;
